Accuracy,Recall,Precision,Train time
1.0,0.0,0.0,0.005859851837158203
1.0,0.0,0.0,0.004151821136474609
1.0,0.0,0.0,0.0043909549713134766
1.0,0.0,0.0,0.004308938980102539
1.0,0.0,0.0,0.0040569305419921875
1.0,0.0,0.0,0.00417780876159668
1.0,0.0,0.0,0.004322052001953125
1.0,0.0,0.0,0.004733085632324219
1.0,0.0,0.0,0.004143953323364258
1.0,0.0,0.0,0.004163980484008789
0.85,0.7,1.0,0.011281967163085938
0.95,1.0,0.9090909090909091,0.016099929809570312
0.95,0.9,1.0,0.020178794860839844
0.5,0.0,0.0,0.016362905502319336
0.5,0.0,0.0,0.01620316505432129
0.6,0.2,1.0,0.014559030532836914
1.0,1.0,1.0,0.01897907257080078
0.5,0.0,0.0,0.01679086685180664
0.6,1.0,0.5555555555555556,0.01877284049987793
0.95,1.0,0.9090909090909091,0.021079063415527344
0.85,0.7,1.0,0.03829598426818848
0.85,1.0,0.7692307692307693,0.040144920349121094
0.95,0.9,1.0,0.04636883735656738
0.5,0.0,0.0,0.04415607452392578
0.5,0.0,0.0,0.04050397872924805
0.5,0.0,0.0,0.03551506996154785
1.0,1.0,1.0,0.03961610794067383
0.5,0.0,0.0,0.05008411407470703
0.9,0.8,1.0,0.03833794593811035
0.5,1.0,0.5,0.03978896141052246
0.75,0.5,1.0,0.05470991134643555
0.9,1.0,0.8333333333333334,0.051225900650024414
0.9,0.8,1.0,0.04640483856201172
0.5,0.0,0.0,0.050302982330322266
0.5,0.0,0.0,0.043920040130615234
0.5,0.0,0.0,0.03690004348754883
1.0,1.0,1.0,0.059288978576660156
0.5,0.0,0.0,0.051287174224853516
0.75,0.6,0.8571428571428571,0.04497408866882324
0.95,0.9,1.0,0.045944929122924805
0.85,0.7,1.0,0.03836703300476074
0.85,1.0,0.7692307692307693,0.03949880599975586
0.95,0.9,1.0,0.04222297668457031
0.5,0.0,0.0,0.044988155364990234
0.5,0.0,0.0,0.04049992561340332
0.5,0.0,0.0,0.04062604904174805
1.0,1.0,1.0,0.042806148529052734
0.5,0.0,0.0,0.05779290199279785
0.85,0.7,1.0,0.047196149826049805
0.5,1.0,0.5,0.043992042541503906
0.75,0.5,1.0,0.048596858978271484
0.9,1.0,0.8333333333333334,0.04448390007019043
0.85,0.9,0.8181818181818182,0.04963994026184082
0.5,0.0,0.0,0.06596708297729492
0.45,0.0,0.0,0.04483604431152344
0.5,0.0,0.0,0.03911089897155762
1.0,1.0,1.0,0.05435585975646973
0.5,0.0,0.0,0.05169796943664551
0.85,0.8,0.8888888888888888,0.05222797393798828
0.95,0.9,1.0,0.055212974548339844
0.85,0.7,1.0,0.04844188690185547
0.95,1.0,0.9090909090909091,0.05596804618835449
0.95,0.9,1.0,0.052098989486694336
0.5,0.0,0.0,0.05575418472290039
0.5,0.0,0.0,0.04651498794555664
0.4,0.0,0.0,0.048774003982543945
1.0,1.0,1.0,0.052520036697387695
0.5,0.0,0.0,0.056488990783691406
0.2,0.2,0.2,0.058274030685424805
0.95,0.9,1.0,0.059796810150146484
0.75,0.5,1.0,0.04550886154174805
0.95,1.0,0.9090909090909091,0.09684491157531738
0.9,0.9,0.9,0.07536911964416504
0.5,0.0,0.0,0.06737995147705078
0.8,1.0,0.7142857142857143,0.0490419864654541
0.5,0.0,0.0,0.05317807197570801
1.0,1.0,1.0,0.04758596420288086
0.5,0.0,0.0,0.05287909507751465
0.8,0.7,0.875,0.05811190605163574
0.95,0.9,1.0,0.06598591804504395
0.85,0.7,1.0,0.08693099021911621
0.9,1.0,0.8333333333333334,0.050137996673583984
0.95,0.9,1.0,0.048629045486450195
0.5,0.0,0.0,0.05169796943664551
0.3,0.0,0.0,0.046035051345825195
0.4,0.0,0.0,0.048501014709472656
1.0,1.0,1.0,0.045295000076293945
0.5,0.0,0.0,0.058734893798828125
0.6,1.0,0.5555555555555556,0.05228996276855469
0.8,1.0,0.7142857142857143,0.04989790916442871
0.85,0.7,1.0,0.05653190612792969
0.9,1.0,0.8333333333333334,0.05040884017944336
0.95,0.9,1.0,0.05179095268249512
0.5,0.0,0.0,0.0617060661315918
0.8,1.0,0.7142857142857143,0.05295705795288086
0.5,0.0,0.0,0.04724693298339844
1.0,1.0,1.0,0.06371402740478516
0.5,0.0,0.0,0.0766289234161377
0.75,0.6,0.8571428571428571,0.048683881759643555
0.95,0.9,1.0,0.05657505989074707
