Accuracy,Recall,Precision,Train time
1.0,0.0,0.0,0.0552830696105957
1.0,0.0,0.0,0.06302595138549805
1.0,0.0,0.0,0.06005287170410156
1.0,0.0,0.0,0.05578494071960449
1.0,0.0,0.0,0.05763506889343262
1.0,0.0,0.0,0.051876068115234375
1.0,0.0,0.0,0.059851884841918945
1.0,0.0,0.0,0.058754920959472656
1.0,0.0,0.0,0.06302404403686523
1.0,0.0,0.0,0.05360102653503418
0.65,0.9,0.6,0.011584043502807617
0.5,1.0,0.5,0.011744976043701172
0.5,0.0,0.0,0.011062145233154297
0.5,0.0,0.0,0.010838985443115234
0.95,1.0,0.9090909090909091,0.012091875076293945
0.5,0.8,0.5,0.011528968811035156
0.9,1.0,0.8333333333333334,0.012264013290405273
0.5,0.0,0.0,0.011416912078857422
0.75,0.7,0.7777777777777778,0.011330842971801758
0.5,1.0,0.5,0.020303010940551758
0.6,0.8,0.5714285714285714,0.059303998947143555
0.9,0.9,0.9,0.05559086799621582
0.5,0.0,0.0,0.058795928955078125
0.5,1.0,0.5,0.055522918701171875
0.95,1.0,0.9090909090909091,0.05610799789428711
0.3,0.1,0.16666666666666666,0.05423283576965332
0.85,0.9,0.8181818181818182,0.06095409393310547
0.5,0.0,0.0,0.05279803276062012
0.7,0.8,0.6666666666666666,0.053987979888916016
0.5,1.0,0.5,0.056292057037353516
0.55,0.8,0.5333333333333333,0.036373138427734375
0.9,0.9,0.9,0.04367184638977051
0.7,0.4,1.0,0.03874492645263672
0.5,1.0,0.5,0.04458189010620117
0.95,1.0,0.9090909090909091,0.04070115089416504
0.25,0.0,0.0,0.04400300979614258
0.8,0.9,0.75,0.044318199157714844
0.5,0.0,0.0,0.04257822036743164
0.55,0.5,0.5555555555555556,0.042855024337768555
0.5,1.0,0.5,0.042014122009277344
0.6,0.8,0.5714285714285714,0.054396867752075195
0.9,0.9,0.9,0.055056095123291016
0.5,0.0,0.0,0.051158905029296875
0.5,1.0,0.5,0.05524182319641113
0.95,1.0,0.9090909090909091,0.051631927490234375
0.3,0.1,0.16666666666666666,0.05776095390319824
0.85,0.9,0.8181818181818182,0.06048703193664551
0.5,0.0,0.0,0.058754920959472656
0.7,0.8,0.6666666666666666,0.0574650764465332
0.5,1.0,0.5,0.05713987350463867
0.55,0.8,0.5333333333333333,0.04194498062133789
0.9,0.9,0.9,0.04022216796875
0.7,0.4,1.0,0.045095205307006836
0.5,1.0,0.5,0.03926897048950195
0.95,1.0,0.9090909090909091,0.045675039291381836
0.25,0.0,0.0,0.04452013969421387
0.8,0.9,0.75,0.043066978454589844
0.5,0.0,0.0,0.040876150131225586
0.55,0.5,0.5555555555555556,0.04658699035644531
0.5,1.0,0.5,0.04113602638244629
0.55,0.8,0.5333333333333333,0.06096005439758301
0.55,1.0,0.5263157894736842,0.05685615539550781
0.5,0.0,0.0,0.06235003471374512
0.5,1.0,0.5,0.05539107322692871
0.45,0.0,0.0,0.05808401107788086
0.15,0.1,0.1111111111111111,0.05731797218322754
0.85,0.9,0.8181818181818182,0.05876898765563965
0.5,0.0,0.0,0.0629720687866211
0.6,0.8,0.5714285714285714,0.0601801872253418
0.5,1.0,0.5,0.057472944259643555
0.55,0.7,0.5384615384615384,0.04444599151611328
0.45,0.8,0.47058823529411764,0.05539107322692871
0.5,0.0,0.0,0.0551910400390625
0.5,1.0,0.5,0.0894479751586914
0.45,0.0,0.0,0.04787707328796387
0.1,0.0,0.0,0.045408010482788086
0.8,0.9,0.75,0.045085906982421875
0.5,0.0,0.0,0.04672884941101074
0.5,0.6,0.5,0.04899120330810547
0.5,1.0,0.5,0.0402989387512207
0.55,0.8,0.5333333333333333,0.05356192588806152
0.55,1.0,0.5263157894736842,0.04760909080505371
0.5,0.0,0.0,0.06162619590759277
0.5,1.0,0.5,0.059309959411621094
0.45,0.0,0.0,0.05908203125
0.2,0.2,0.2,0.05793499946594238
0.85,0.9,0.8181818181818182,0.0618901252746582
0.5,0.0,0.0,0.054527997970581055
0.6,0.8,0.5714285714285714,0.052015066146850586
0.5,1.0,0.5,0.06641197204589844
0.55,0.7,0.5384615384615384,0.04235506057739258
0.45,0.8,0.47058823529411764,0.05060601234436035
0.5,0.0,0.0,0.045838117599487305
0.5,1.0,0.5,0.04937601089477539
0.45,0.0,0.0,0.04623699188232422
0.15,0.1,0.1111111111111111,0.05121016502380371
0.8,0.9,0.75,0.052796125411987305
0.5,0.0,0.0,0.09954595565795898
0.5,0.6,0.5,0.04477500915527344
0.5,1.0,0.5,0.04402494430541992
